,ClassId,ClassName,classSummary
11,83279, 資料探勘論文研討一,"Data mining techniques can be classified into the following categories: classification and prediction, clustering, association rules, and sequential patterns. Data mining techniques have also been extended to deal with unstructured documents (referred to as text mining). This course will be devoted to allow students understand the concepts of data mining and text mining, explore some interesting data/text mining applications (e.g., event detection and tracking, patent mining, biomedical literature-based discovery, pharmacovigilance data mining, etc.), and identify new data/text mining research issues and applications. 課程目標 To prepare students with an understanding of existing data/text mining techniques and interesting data/text mining applications and to facilitate students to identify new data/text mining research issues and applications. 課程要求 Each student is expected to be in charge of five to six paper presentations. For each research article, the presenting student needs to summarize and present the materials (i.e., research background and motivation, literature review, detailed algorithmic/technical design, evaluation design and procedure, and evaluation results) reported in the paper. All other students in the class are also expected to finish the reading and participate in discussions. Toward the end of the semester, each student is required to propose a research idea related to the data/text mining domain . The research idea proposal needs to clearly address a research question. A review of related literature and an analysis of research gap to justify the research motivation of the proposed research idea are also needed."
12,17471, 監督學習與統計建模論文研討一,This class introduces concepts in data mining and machine learning for master students. 課程目標 The goal is to provide master students the techniques and background knowledge to conduct data mining projects. 課程要求
13,54481, 資訊經濟與最佳化論文研討一,paper reading 課程目標 課程要求
14,78689, 生產力最佳化與數據科學論文研討一,待補 課程目標 待補 課程要求 待補
15,36186, 人工智慧管理論文研討一,"Artificial intelligence (AI) is an emerging research topic that is highly popular, yet how to manage its development and application remains an open and controversial issue. This course focuses on introducing students to the most updated AI in management readings, and discusses various topics about AI in management, including AI in service, marketing, management information system, e-commerce, economics, consumer behavior, strategic management, and human resources. 課程目標 Foster students’ ability to evaluate critically important academic, multidisciplinary readings on AI in management. 課程要求 Weekly reading discussions. The readings are at the graduate-level (some are at the doctoral level). They are not Harvard Business Review-type articles or cases. Students are expected to be able to understand, discuss, and share in-depth and critical insights with class participants in English in the weekly discussion. Past students typically spent 3 hours on course preparation weekly."
16,95119, 人機互動與電腦圖學論文研討一,
17,36068, 人機互動與社群運算論文研討一,
18,27205, 資訊管理論文研討,
19,73367, 資管專題討論,本課程將邀請知名學者與業界人士分享最新的資訊科技及資訊管理議題。每周課程約2小時，前90分鐘為講者演講，並安排20分鐘的問答時間與講者互動。 課程目標 藉由多元的學/業界演講讓學生了解新興資訊技術與資管新知。 課程要求 課程要求與評分方式請見第一周syllabus。
20,32984, 資訊系統研發,
21,87556, 軟體規格與驗證,"This is an introductory course on formal software specification and verification, covering various formalisms, methods, and tools for specifying the properties of a software program and for verifying that the program meets its specification. We will focus on deductive (theorem proving) methods. A separate, complementary course entitled “Automatic Verification” covers algorithmic (model checking) methods. 課程目標 The goal of this course is to acquaint the students with fundamentals of formal software verification and to prepare them for conducting research in the area. 課程要求 Computer Programming and Discrete Mathematics"
22,44025, 遊戲設計,本學期採取「製作遊戲專題」的方式進行，將在一學期的時限中試著持續迭代開發出一款可遊玩的遊戲。課程將以混成的方式進行，教學的講座內容會放在 NTU COOL，提供線上影片的版本讓大家自由學習。線下實體課程的時間將主要用來進行專題的進度報告與試玩回饋，以及對講座內容進行簡介與回答同學問題。為了使初學者較易入門，課程的技術內容與資源介紹將以 Unity 與 C# 為主，但只要能符合課程要求，並沒有限制所使用的製作工具。而為了使課程聚焦並便於進行遊玩測試，本學期製作的遊戲除了期末 Demo 之外，在專題開發與進度報告期間都將以『瀏覽器』版本進行遊玩測試與評分，並必須提供單人遊玩模式。 分組暨加簽表單 課程目標 了解遊戲開發的背景知識、理論基礎及實務面臨的挑戰。在適度的引導以及持續的回饋下，在期末如期完成一款體量適當且可遊玩的遊戲專題。透過自我學習與團隊協作的過程，深入探索遊戲或軟體專案製作所需要了解的各種面向。 課程要求 需要組成最多四人的團隊，因為每組平均每二到三週就需要提供一個可遊玩的遊戲版本跟進行進度報告，建議上課前就有程式設計的基礎或能找到穩定協作的隊員，否則極可能會因進度跟不上而放棄或因為未完成專題而無法通過課程。在課餘時間需要自主學習製作遊戲的大部分相關技能與知識並能在每輪報告期間試玩其他組別的遊戲並提供回饋。
23,29223, 電子商務,待補 課程目標 待補 課程要求 待補
24,29223, 電子商務,待補 課程目標 待補 課程要求 待補
25,82127, 資訊檢索與文字探勘導論,"THE COURSE IS AIMED AT GRADUATE STUDENTS OR SENIOR UNDERGRADUATE STUDENTS WHO ARE INTERESTED IN INFORMATION RETRIEVAL AND TEXT MINING. THE FIRST PART OF THE COURSE WILL COVER THE BASICS OF INFORMATION RETRIEVAL, INCLUDING THE MANNER OF DOCUMENT REPRESENTATION, TERM WEIGHTING, AND EVALUATION METRICS USED TO COMPARE INFORMATION RETRIEVAL SYSTEMS. THEN, RESEARCH TOPICS, SUCH AS TEXT CLASSIFICATION AND CLUSTERING, WILL BE DISCUSSED TO PROVIDE A COMPREHENSIVE STUDY ON INFORMATION RETRIEVAL AND TEXT MINING. 課程目標 THIS COURSE MAY COVER THE FOLLOWING CONTENTS: TERM VOCABULARY TERM WEIGHTING AND VECTOR SPACE MODEL. EVALUATION IN INFORMATION RETRIEVAL. RELEVANCE FEEDBACK AND QUERY EXPANSION. PROBABILISTIC INFORMATION RETRIEVAL. LANGUAGE MODELS FOR INFORMATION RETRIEVAL. TEXT CLASSIFICATION AND NAIVE BAYES. VECTOR SPACE CLASSIFICATION. FLAT CLUSTERING. HIERARCHICAL CLUSTERING. WEB SEARCH BASICS. WEB CRAWLING AND INDEXES. LINK ANALYSIS. OTHER RESEARCH ISSUES IN TEXT MINING. 課程要求"
26,27256, 資訊法與資訊政策專題,
27,15587, 文字探勘初論,待補 課程目標 待補 課程要求 待補
28,88350, 製造數據科學,"MDS course supports students learning how to apply artificial intelligence (AI), machine learning, data science (DS) techniques to improve the effectiveness and efficiency of the manufacturing systems. MDS integrates the knowledge domains of the information, engineering, and management. Encourage students to solve the real problem systematically using the design of analytics, from descriptive, diagnostic, predictive, prescriptive to automating, for successfully enhancing decision quality. --- 欲加簽同學請參加第一堂實體課程，謝謝。 課程目標 1. Learn the statistical learning and optimization methodologies for intelligent manufacturing systems 2. Create a prototype model to solve the problem in real setting related to manufacturing or service systems 3. Develop the research skills and prepare a analytical project report 課程要求 1. It's better to have prerequisite courses: (1) probability and statistics; (2) operations research 2. Python programming skills 3. Students need to read literature and develop analytical model for term project"
29,89825, 統計學習與深度學習,"本課除第一次上課、學期中一至二次期末報告計劃書討論、與期末報告為實體授課外，其餘課程採線上教學。 考量助教的負擔，加選的名額分配如下 (as of 2023/8/15)： * 資管系所 7人 * 商資分析學程 7人 * 經濟系 7人 * 不分系所 7人 請至以下連結登記加選。第一次實體上課時會以抽籤的方式決定可以加選的同學： https://forms.gle/6pVmuaiW5xj7jAgZA 中簽名單 (2023/9/7): https://docs.google.com/spreadsheets/d/1y7uUEZUHX5eQYGgZLAyt0ZR_OFkPOANOrMTMS-NK56k/edit?usp=sharing Statistical learning refers to a set of tools for modeling and understanding complex datasets. It is a recently developed area in statistics and blends with parallel developments in computer sciences and machine learning. The field encompasses many methods such as the regularized regression, classification, graphic models, and recently deep learning. The goal of this course is to introduce a set of tools for data analytics. We will cover the principles and applications of these models/tools. These tools will not be viewed as black boxes. Instead, students will be exposed to the details, not just the use, of these tools. The main reason is that no single approach will perform well in all possible applications. Without understanding how a tool work, it is impossible to select the best tool. This course is appropriate for master's students and advanced undergraduates who wish to use statistical learning, machine learning, and deep learning to analyze their data. 課程目標 Omitted. 課程要求 本課程對程式能力有一些要求，如果你不會寫程式，請不要修這門課。助教不會教你寫程式、不會幫你寫程式、不會幫你安裝Jupyter Lab或其他工具。具體的程式能力的要求是： ‧ 本課程會使用Python + Jupyter Lab 做為主要工具，修課學生須具備基本的Python Programming知識，例如Jupyter Lab安裝與操作、Import 與使用Module、使用Pandas與Numpy操作與分析資料等。 ‧ 自己延伸學習在課堂與作業中會使用的其他Module。 *Grade Distribution* The course grades will be determined by the following percentages: Homework (Python-based) (5-6 Assignments) 60% Attendance, participation & quizzes 10% Final Project (Presentation) 30% Total 100% *Computational Tools* Students are required to use Python 3 (Version >=3.7) (with scikit-learn, pandas, matplotlib, numpy, pytorch, etc.) to solve homework assignments. *Homework* There are at least five graded assignments. Unless otherwise stated, students must organize their code and results using Jupyter Lab (with Python 3; Version >=3.8) and submit their *.IPYNB file together with the exported HTML file to NTUCOOL. Other file formats are not accepted and will result in a zero score for the homework. You will have two weeks to finish each homework assignment (Due time: 12:30 pm Thursday). Late submissions will not be accepted. Homework assignments play a critical role in the learning process, and students are expected to spend a significant amount of time in solving homework problems. Note that plagiarism will result in a severe penalty for everyone involved. *Final Project (Team-based)* Students are expected to form teams of three to six people and work on a data analytics problem that is interesting and challenging for you. Details will be given in class."
30,44122, 作業研究應用與實作,"This course will provide students to learn the methodologies of operations research and its applications to the real problem. The models include deterministic models (such as linear programming, multi-criteria decision analysis, data envelopment analysis, etc.) and stochastic models (such as Bayesian decision analysis, stochastic programming, Markov decision process, etc.). The course integrates the knowledge domains of the management and engineering, applied in capacity planning, facility layout, supply chain, manufacturing scheduling, performance evaluation, vendor selection and order allocation, Bin-packing, financial investment, etc. We develop the implementation capability of the information system in practice. Finally we should know how to solve the real problem systematically using optimization or statistical methods. 課程目標 - Know the advanced techniques of operations research - Create theoretical model to solve the problem in real setting - System development and implementation 課程要求 Prerequisites - Operations Research: ”Operations Research” in the IM department or equivalent. - Statistics: ”Statistics I” and “Statistics II” in the IM department or equivalent."
31,75275, 資訊科技與商業模式創新,"商業模式(Business Model)，簡單的說，就是一個企業如何創造、傳遞及獲取價值的手段與方法。我們可以透過解構其中關鍵的要素來幫助企業思考自身的定位與競爭策略，進而創造出收益。「商業模式」一詞雖然在60年代就已出現，但卻是在90年代末期電子商務興起後才吸引更多的學者投入研究，而隨後網路的蓬勃發展與資訊科技不斷的進展，更帶來許多的商業模式創新與非凡的新創。本課程希望藉由介紹與探討不同的資訊科技新創個案與其商業模式，包含過去失敗的案例，培養學生創新能力與創業精神(entrepreneurship)，以應對新科技帶來的挑戰和機遇。 在探討個案時，我們會著重在資訊科技帶來的商業模式創新，例如通過新的價值主張、定價模式、服務模式或渠道帶來的創新。個案包括共享經濟的AirBnB、Uber Eats、WeWork。我們還將以三個創新路徑：挑戰現狀、尋找未被滿足的需求、以及洞察趨勢、掌握機會來討論不同的創新個案。最後，大多數商業模式都可以模仿，所以商業模式創新只能帶來短期優勢。因此，創新者在思考商業模式創新時，也必須思考如何從這種短期優勢中構築競爭壁壘，以抵禦後進者的威脅。 註：要修本課程學生請注意，本學期課程在9/14、9/21的課程因故必須調整至9/13、10/4晚上 6:30-9:10補課 (但課程會錄影供無法出席學生觀看)。 A business model is essentially the means and methods by which a company creates, delivers, and captures value. By deconstructing its key elements, we can help businesses think about their positioning and competitive strategies, thereby generating revenue. Although the term “business model” appeared in the 1960s, it wasn't until the late 1990s, with the rise of electronic commerce, that more scholars became interested in researching it. The subsequent flourishing of the Internet and continuous advancements in information technology brought about numerous innovations in business models and extraordinary startups. This course aims to introduce and explore various information technology startup cases and their business models, including past failed cases, to cultivate students' innovation capabilities and entrepreneurship spirit in order to address the challenges and opportunities brought by new technologies. When discussing these cases, we will emphasize business model innovations brought about by information technology, such as innovations through new value propositions, pricing models, service models, or channels. Cases include sharing economy platforms like Airbnb, Uber Eats, and WeWork. When going through the cases, we can see that innovations arise in the following three pathways: challenging the status quo, identifying unmet needs, and discerning trends and seizing opportunities to discuss different innovative cases. The three pathways, therefore, shed some light on opportunities for innovation. It is also worth noting that most business models can be imitated, leading to only short-term advantages. Therefore, when contemplating business model innovation, innovators must also consider how to construct competitive barriers based on these short-term advantages to defend against threats from newcomers. 課程目標 個案分析能力、創意思考、競爭策略與創新創業精神 如何運用資訊科技驅動商業模式創新 Case analysis skills, creative thinking, competitive strategies, and entrepreneurialship. How to leverage information technology to drive business model innovation. 課程要求 具備基本的資訊科技知識 積極的學習態度 對於新科技的好奇 Possessing fundamental knowledge of information technology. Maintaining a proactive learning attitude. Displaying curiosity towards new technologies."
32,77142, 程式語言：函數程式設計,大綱、講義等詳見課程網站： https://scmu.github.io/plfp/ ========= 本課程為「程式語言(Programming Languages)」系列課程之一，著眼點並不是教特定程式語言，而是以函數語言(functional language)為媒介，討論設計程式解決問題的思考方式、設計程式使用的數學與邏輯基礎、以及程式語言與形式符號在其中扮演的角色。其核心概念包括： - 程式語言是一種形式語言，作為思考的工具。我們用程式語言表達概念，也用程式語言中的形式規則檢驗程式的正確性。 - 函數程設(functional programming)是一種相當簡化的程式設計模型。因為簡單，有更多易於掌握的性質，可作為討論程式語言的基礎。 - 有一整套程式設計理論奠基於歸納法(induction)之上。資料結構可用歸納法定義，其上的程式可用歸納寫成，關於該程式的性質也可用歸納法證明。與之相對的是餘歸納(coinduction). - 上述兩種方法都不足以定義出所有程式 -- 為此我們將需要允許遞迴 (general recursion) 的模型. 然而，表達力變強大也意味著我們將失去一些好性質。 - 程式設計與定理證明是密切相關、相輔相成的活動。 - 函數語言這樣的簡單模型允許我們做等式推導，可作為一種程式設計方法 -- 將程式「算」出來。 - 好的型別系統常有「只要型別對，程式就會對」的特性。 - 型別系統與邏輯有密切關係：邏輯陳述相當於型別，具有該型別的程式則是該邏輯陳述的證明。 - 型別系統能幫助我們確立程式的正確性，甚至輔助我們寫程式。 - 更強大的型別系統相當於更具表達力的邏輯。同樣地，邏輯變強大的同時，我們也犧牲掉一些好掌握的性質。 課程目標 以函數語言為起點，瞭解程式語言在語法、語意、與實務面向的課題。 課程要求 修過程式設計相關課程，有基礎程式設計能力。
33,51682, Web APP開發,"2023/9/1 The details of this course is announced: https://docs.google.com/document/d/1jtMt4F1XYIiEOAWxZ2aWwzFpz4AZDlkxcRQ80iVhtOo/edit?usp=sharing 2023/8/21 1. Again, there are no authorization code of this course since it is controlled by the system. 2. If you want to audit / sit in on this course, please come to the classroom in the first week. Please do not send the email to the teacher or TAs. 2023/8/7 1. The details of this course will be updated on the beginning of Sept and it will be very different to the that in the last year. 2. There are no authorization code because it is controlled by the system and the limit of the number of student is 80. Therefore, if you ask the authorization code, I won't reply you. ---------------------------------------------------------------------------------- 本課程內容涵蓋網頁設計、後端資料庫和網頁轉化成手機APP等基本概念及其運用，例如：HTML5、CSS3、JavaScript、jQuery、jQuery Mobile、SQL、NoSQL以及Cordova等。 在整個課程中，藉由以某領域為主題搭配專案管理之手段，以解決真實問題為目標之專案製作，進一步達到學習之目的，提升同學學習成效。藉由分組討論與專案報告讓同學們分享解決問題的過程以及反思，進而提升的學習效果。 課程目標 以解決真實問題為導向，熟練 Web App 開發所需之技巧和專案管理概念，包括 HTML, CSS3, JavaScript, jQuery Mobile, SQL, NoSQL 與 Cordova 等。 課程要求 團隊合作(必備)、程式設計能力(若學過較佳)"
34,29859, 研究方法,"The core issue with conducting business research is – how do we arrive at a credible knowledge through proper research practices? The methods covered will include experimentation, survey, interviewing, and field research. During the tour of the various methods, we will confront the issues of quality, validity, and rigor. 課程目標 -To help students develop a foundational understanding of how to conduct business research. -To generate an awareness of the inevitable imperfections imposed in any research design. -To give students a good appreciation of how the methods could be combined. 課程要求 待補"
35,29211, 雲原生應用程式開發,你是不是很好奇，市面上的軟體都是如何開發出來的？ 你是不是有很多的想法，但是卻不知道該如何實踐？ 你開發了一個網路應用服務，但是不知道如何可以給更多人使用？ 這門課希望能夠帶給你一個網路雲端原生應用程式開發完整的流程。藉由這些緊緊相連的課程，一步步帶你從一個新概念的發想、使用者訪談、軟體服務設計思考、系統架構及服務開發、網路服務規劃及負載設計、容器化的應用，最後運用觸手可及的雲端網路服務，分享給全世界。 過程中，你會了解如何運用開源（open source）軟體、軟體版本控制、持續整合（CI）、持續佈署這些觀念及常用工具，讓你的雲端服務系統開發可以更新既及時、但也更有品質。業界講師的分享及經驗談，也可以協助你更接近市場，對於日後要前進企業、或是自行創業都會是很好的指引。 【備註】 1.本課程由台積電IT部門協助合作授課。 2.第二階段選課結束，不開放加簽；建議有實作經驗者修課。 課程目標 本課程的目標在於讓修課同學： 瞭解並熟悉雲端原生服務的概念、實踐及應用 協助學生透過以人為本的設計思考，為使用者尋求創新解決方案 引導學生熟悉雲端應用程式開發，DevOps方法及工具使用，及企業的實際案例分享 為學生跟業界講師，建立一個互相溝通及分享的管道 課程要求 1. 請依循規定完成各週閱讀進度、進行分組報告並參與課堂討論。 2. 修課同學需繳交相關成果報告並參加期中、期末成果發表。
